id,name,type,Recognizability,movie_count,best_known_for_acting
P-12929,Rosie O'Donnell,Actor,8,1,True
P-13242,Paul Giamatti,Actor,8,1,True
P-12835,Vin Diesel,Actor,9,1,True
P-12795,Nikolaj Coster-Waldau,Actor,8,1,True
P-12214,Gillian Anderson,Actor,9,1,True
P-12640,David Duchovny,Actor,9,1,True
P-982,Sting,Actor,9,1,True
P-12208,Ozzy Osbourne,Actor,9,1,True
P-12207,Kylie Minogue,Actor,8,1,True
P-6837,Walter Matthau,Actor,8,1,True
P-3151,Jack Lemmon,Actor,8,1,True
P-111946,Britney Spears,Actor,10,1,False
P-14386,Beyoncé,Actor,10,1,False
P-23659,Will Ferrell,Actor,9,1,True
P-13918,Elizabeth Hurley,Actor,8,1,True
P-14414,Kareem Abdul-Jabbar,Actor,8,1,True
P-7633,Leslie Nielsen,Actor,8,1,True
P-19274,Seth Rogen,Actor,8,1,True
P-80757,Mike Tyson,Actor,9,1,True
P-37632,Eddie Redmayne,Actor,8,1,True
P-221581,Rebel Wilson,Actor,8,1,True
P-2041,Dr. Dre,Actor,9,1,True
P-20277,David Suchet,Actor,8,1,True
P-18976,Ashton Kutcher,Actor,9,1,True
P-54693,Emma Stone,Actor,10,1,True
P-37625,Andrew Garfield,Actor,8,1,True
P-16858,Lauren Graham,Actor,8,1,True
P-5004,Omar Sharif,Actor,9,1,True
P-16478,Johnny Galecki,Actor,8,1,True
P-1430,Keith Richards,Actor,9,1,True
P-955,Penélope Cruz,Actor,10,1,True
P-19537,Megan Fox,Actor,9,1,True
P-131024,Alanis Morissette,Actor,8,1,True
P-32895,Kevin James,Actor,8,1,True
P-19292,Adam Sandler,Actor,10,1,True
P-19278,Bill Hader,Actor,8,1,True
P-58502,Natalie Dormer,Actor,8,1,True
P-60898,Sebastian Stan,Actor,8,1,True
P-2314,Peter Falk,Actor,8,1,True
P-18918,Dwayne Johnson,Actor,10,1,True
P-18897,Jackie Chan,Actor,10,1,True
P-4169,Dave Chappelle,Actor,10,1,True
P-15152,James Earl Jones,Actor,10,1,True
P-18352,Patrick Dempsey,Actor,8,1,True
P-10158,Robert Mitchum,Actor,9,1,True
P-15111,Jean-Claude Van Damme,Actor,9,1,True
P-19767,Snoop Dogg,Actor,9,1,True
P-27972,Josh Hutcherson,Actor,9,1,True
P-38225,Cher,Actor,10,1,True
P-10871,Natasha Lyonne,Actor,8,1,True
P-26510,Eugene Levy,Actor,10,1,True
P-21595,Alyson Hannigan,Actor,9,1,True
P-21594,Chris Klein,Actor,8,1,True
P-21593,Jason Biggs,Actor,9,1,True
P-1164,F. Murray Abraham,Actor,8,1,True
P-1160,Michelle Pfeiffer,Actor,10,1,True
P-1158,Al Pacino,Actor,10,1,True
P-1121,Benicio del Toro,Actor,9,1,True
P-1100,Arnold Schwarzenegger,Actor,10,1,True
P-1062,Christopher Lloyd,Actor,9,1,True
P-1037,Harvey Keitel,Actor,8,1,True
P-1038,Jodie Foster,Actor,10,1,True
P-380,Robert De Niro,Actor,10,1,True
P-976,Jason Statham,Actor,10,1,True
P-938,Djimon Hounsou,Actor,8,1,True
P-937,Derek Jacobi,Actor,8,1,True
P-935,Connie Nielsen,Actor,8,1,True
P-934,Russell Crowe,Actor,10,1,True
P-21355,DMX,Actor,8,1,True
P-21352,Aaliyah,Actor,8,1,True
P-10859,Ryan Reynolds,Actor,10,1,True
P-14408,Matthew Perry,Actor,9,1,True
P-17838,Rami Malek,Actor,10,1,True
P-1937,Mickey Rooney,Actor,9,1,True
P-61303,Dick Van Dyke,Actor,9,1,True
P-2076,David Warner,Actor,8,1,True
P-16935,Geena Davis,Actor,9,1,True
P-3810,Javier Bardem,Actor,9,1,True
P-16940,Jeremy Irons,Actor,9,1,True
P-18277,Sandra Bullock,Actor,10,1,True
P-10860,Jessica Biel,Actor,9,1,True
P-17244,Hayden Christensen,Actor,8,1,True
P-20231,Enrique Iglesias,Actor,8,1,True
P-18471,Anthony Anderson,Actor,8,1,True
P-21657,Vera Farmiga,Actor,9,1,True
P-120724,Jaden Smith,Actor,8,1,True
P-16866,Jennifer Lopez,Actor,10,1,True
P-9560,Ellen Burstyn,Actor,8,1,True
P-16620,Hulk Hogan,Actor,9,1,True
P-16619,Mr. T,Actor,9,1,True
P-16523,Burgess Meredith,Actor,8,1,True
P-16450,Sean Combs,Actor,8,1,True
P-25540,Sandra Oh,Actor,9,1,True
P-16475,Burt Reynolds,Actor,9,1,True
P-1339,Zhang Ziyi,Actor,8,1,True
P-17288,Michael Fassbender,Actor,9,1,True
P-15112,Tom Selleck,Actor,8,1,True
P-41419,Hugh Laurie,Actor,9,1,True
P-16828,Chris Evans,Actor,10,1,True
P-17444,Corey Haim,Actor,8,1,True
P-17604,Jeremy Renner,Actor,9,1,True
P-17605,Idris Elba,Actor,10,1,True
P-880,Ben Affleck,Actor,10,1,True
P-1229,Jeff Bridges,Actor,9,1,True
P-2632,Chris Rock,Actor,10,1,True
P-10017,Charlton Heston,Actor,9,1,True
P-11355,Jason Isaacs,Actor,8,1,True
P-65827,Keith David,Actor,8,1,True
P-61981,Michael Clarke Duncan,Actor,8,1,True
P-887,Owen Wilson,Actor,9,1,True
P-886,William Fichtner,Actor,8,1,True
P-884,Steve Buscemi,Actor,9,1,True
P-882,Liv Tyler,Actor,9,1,True
P-879,Billy Bob Thornton,Actor,9,1,True
P-63,Milla Jovovich,Actor,9,1,True
P-776,Eddie Murphy,Actor,10,1,True
P-741,River Phoenix,Actor,9,1,True
P-738,Sean Connery,Actor,10,1,True
P-723,Patrick Swayze,Actor,9,1,True
P-722,Jennifer Grey,Actor,8,1,True
P-707,Dan Aykroyd,Actor,9,1,True
P-658,Alfred Molina,Actor,8,1,True
P-656,Denholm Elliott,Actor,8,1,True
P-17743,Miranda Cosgrove,Actor,8,1,True
P-49265,Lindsay Lohan,Actor,9,1,True
P-10557,Paul Simon,Actor,8,1,True
P-4038,Susan Sarandon,Actor,9,1,True
P-21625,Molly Ringwald,Actor,8,1,True
P-3130,Jennifer Beals,Actor,8,1,True
P-11086,Michael Ironside,Actor,8,1,True
P-18997,Bryce Dallas Howard,Actor,9,1,True
P-4238,Common,Actor,9,1,True
P-21028,Anton Yelchin,Actor,8,1,True
P-65731,Sam Worthington,Actor,10,1,True
P-2773990,Addison Rae,Actor,8,1,True
P-1340020,Álvaro Morte,Actor,8,1,True
P-1392140,Annie Murphy,Actor,8,1,True
P-36819,Hayley Mills,Actor,8,1,True
P-2282154,Jimmy Donaldson,Actor,10,1,False
P-2604515,Emma Myers,Actor,9,1,True
P-2034418,Jacob Elordi,Actor,9,1,True
P-60373,Antony Starr,Actor,8,1,True
P-1590797,Sadie Sink,Actor,8,1,True
P-1680929,Blue Ivy Carter,Actor,8,1,True
P-1785590,David Corenswet,Actor,9,1,True
P-1246392,Kimberly Dawn Davis,Actor,8,1,True
P-1407498,Marsai Martin,Actor,8,1,True
P-50266,Shemar Moore,Actor,9,1,True
P-1700631,Liza Koshy,Actor,10,1,False
P-1642789,Madelyn Cline,Actor,9,1,True
P-2146942,Freya Allan,Actor,8,1,True
P-4756,Matthew Broderick,Actor,9,1,True
P-53256,Terry Crews,Actor,9,1,True
P-7399,Ben Stiller,Actor,10,1,True
P-7180,John Candy,Actor,9,1,True
P-7404,Sarah Silverman,Actor,9,1,True
P-41686,Neil Patrick Harris,Actor,10,1,True
P-51581,Clarence Gilyard Jr.,Actor,8,1,True
P-7673,Bonnie Bedelia,Actor,8,1,True
P-6384,Keanu Reeves,Actor,10,1,True
P-17052,Topher Grace,Actor,9,1,True
P-19159,Thomas Haden Church,Actor,8,1,True
P-25933,Emily Deschanel,Actor,9,1,True
P-18307,Daniel Dae Kim,Actor,8,1,True
P-20584,Lucy Lawless,Actor,8,1,True
P-20580,Joe Manganiello,Actor,9,1,True
P-18999,J.K. Simmons,Actor,9,1,True
P-18998,Rosemary Harris,Actor,8,1,True
P-19153,Cliff Robertson,Actor,8,1,True
P-17051,James Franco,Actor,10,1,True
P-2219,Tobey Maguire,Actor,10,1,True
P-7570,Lauren Bacall,Actor,9,1,True
P-4654,Jeremy Davies,Actor,8,1,True
P-856,Ben Gazzara,Actor,8,1,True
P-7497,Holt McCallany,Actor,8,1,True
P-7499,Jared Leto,Actor,10,1,True
P-7470,Meat Loaf,Actor,8,1,True
P-7517,Kate Bosworth,Actor,9,1,True
P-4135,Robert Redford,Actor,10,1,True
P-7908,Frank Oz,Actor,8,1,True
P-7175,Aretha Franklin,Actor,10,1,False
P-10297,Matthew McConaughey,Actor,9,1,True
P-1323109,Aisling Franciosi,Actor,8,1,True
P-1763709,Aaron Pierre,Actor,8,1,True
P-1576058,Lilly Singh,Actor,9,1,True
P-2026050,Emmy Raver-Lampman,Actor,8,1,True
P-62547,Susanna Thompson,Actor,8,1,True
P-21619,Marilu Henner,Actor,8,1,True
P-1080935,Youn Yuh-jung,Actor,8,1,True
P-80415,Judith Light,Actor,9,1,True
P-1600085,Patsy Ferran,Actor,8,1,True
P-1696017,Darby Camp,Actor,8,1,True
P-1371456,Abigail Cowen,Actor,8,1,True
P-108558,Shania Twain,Actor,10,1,False
P-208782,Holland Roden,Actor,8,1,True
P-1298360,Laverne Cox,Actor,9,1,True
P-3455931,Truman Hanks,Actor,9,1,True
P-1756490,Helena Zengel,Actor,8,1,True
P-1042728,Úrsula Corberó,Actor,8,1,True
P-2326151,Paul Mescal,Actor,9,1,True
P-1475127,Gemma Whelan,Actor,8,1,True
P-1661465,Lizzo,Actor,8,1,True
P-1976054,Rachel Sennott,Actor,8,1,True
P-1252533,Sophia Di Martino,Actor,8,1,True
P-1655001,Chrissy Metz,Actor,8,1,True
P-1437491,Ariana DeBose,Actor,8,1,True
P-1274513,Francesca Eastwood,Actor,8,1,True
P-2532098,Javon Walton,Actor,8,1,True
P-7174,Ray Charles,Actor,10,1,False
P-1373659,Melissa Barrera,Actor,8,1,True
P-7172,James Brown,Actor,10,1,False
P-7171,John Belushi,Actor,9,1,True
P-7166,Kevin Pollak,Actor,8,1,True
P-4512,James Woods,Actor,9,1,True
P-4517,Joe Pesci,Actor,10,1,True
P-55645,Victoria Hamilton,Actor,8,1,True
P-6979,Romola Garai,Actor,8,1,True
P-4391,Charles Dance,Actor,9,1,True
P-6972,Ian McShane,Actor,9,1,True
P-6968,Hugh Jackman,Actor,10,1,True
P-7071,Louise Fletcher,Actor,8,1,True
P-11617,Mischa Barton,Actor,9,1,True
P-19923,Hugh Bonneville,Actor,8,1,True
P-7026,Rhys Ifans,Actor,8,1,True
P-9205,Denise Richards,Actor,9,1,True
P-25837,Elisha Cuthbert,Actor,9,1,True
P-31717,January Jones,Actor,9,1,True
P-7055,Sienna Guillory,Actor,8,1,True
P-10730,Rowan Atkinson,Actor,10,1,True
P-17289,Rodrigo Santoro,Actor,8,1,True
P-25663,Thomas Brodie-Sangster,Actor,9,1,True
P-7060,Martin Freeman,Actor,10,1,True
P-1508653,Jasmin Savoy Brown,Actor,8,1,True
P-41689,Rue McClanahan,Actor,8,1,True
P-20189,Amy Smart,Actor,8,1,True
P-18269,Brendan Fraser,Actor,10,1,True
P-11181,Kenneth Branagh,Actor,8,1,True
P-10990,Emma Watson,Actor,10,1,True
P-10989,Rupert Grint,Actor,9,1,True
P-10980,Daniel Radcliffe,Actor,10,1,True
P-9994,Helen Hunt,Actor,8,1,True
P-1666,Julie Christie,Actor,9,1,True
P-9827,Rose Byrne,Actor,8,1,True
P-11390,Peter O'Toole,Actor,9,1,True
P-9824,Diane Kruger,Actor,8,1,True
P-55636,Donald Sutherland,Actor,9,1,True
P-9788,Regina King,Actor,8,1,True
P-9780,Angela Bassett,Actor,9,1,True
P-9778,Ice Cube,Actor,9,1,True
P-9777,Cuba Gooding Jr.,Actor,8,1,True
P-9642,Jude Law,Actor,9,1,True
P-9280,Ellen Pompeo,Actor,8,1,True
P-9278,Jennifer Garner,Actor,9,1,True
P-9273,Amy Adams,Actor,9,1,True
P-5344,Meg Ryan,Actor,9,1,True
P-44079,Charlotte Rampling,Actor,8,1,True
P-9137,Renée Zellweger,Actor,9,1,True
P-5168,Gabriel Byrne,Actor,8,1,True
P-9030,Thandiwe Newton,Actor,8,1,True
P-3131,Antonio Banderas,Actor,9,1,True
P-10978,Maggie Smith,Actor,9,1,True
P-62,Bruce Willis,Actor,10,1,True
P-10727,John Hannah,Actor,8,1,True
P-287,Brad Pitt,Actor,10,1,True
P-3129,Tim Roth,Actor,8,1,True
P-10182,Ving Rhames,Actor,8,1,True
P-7447,Alec Baldwin,Actor,9,1,True
P-10127,Jon Voight,Actor,8,1,True
P-20049,David Tennant,Actor,8,1,True
P-11288,Robert Pattinson,Actor,9,1,True
P-827,Elliott Gould,Actor,8,1,True
P-819,Edward Norton,Actor,9,1,True
P-477,Julie Walters,Actor,8,1,True
P-478,Jamie Bell,Actor,8,1,True
P-454,Michael Peña,Actor,8,1,True
P-449,Jay Baruchel,Actor,8,1,True
P-448,Hilary Swank,Actor,9,1,True
P-418,Robert Patrick,Actor,8,1,True
P-368,Reese Witherspoon,Actor,9,1,True
P-73421,Joaquin Phoenix,Actor,9,1,True
P-351,Judy Davis,Actor,8,1,True
P-350,Laura Linney,Actor,8,1,True
P-53650,Anthony Mackie,Actor,8,1,True
P-328,Brittany Murphy,Actor,8,1,True
P-326,Kim Basinger,Actor,9,1,True
P-325,Eminem,Actor,10,1,True
P-290,Christopher Plummer,Actor,9,1,True
P-11275,Stephen Fry,Actor,8,1,True
P-8945,Kevin Kline,Actor,8,1,True
P-8944,Jamie Lee Curtis,Actor,9,1,True
P-8891,John Travolta,Actor,10,1,True
P-3061,Ewan McGregor,Actor,10,1,True
P-7906,Jennifer Tilly,Actor,8,1,True
P-5563,James Coburn,Actor,9,1,True
P-7904,Billy Crystal,Actor,10,1,True
P-8177,Michael Ealy,Actor,8,1,True
P-8171,Ludacris,Actor,9,1,True
P-8170,Eva Mendes,Actor,10,1,True
P-8169,Tyrese Gibson,Actor,8,1,True
P-8167,Paul Walker,Actor,10,1,True
P-383,Michael Palin,Actor,8,1,True
P-10713,Eric Idle,Actor,8,1,True
P-8930,John Cleese,Actor,10,1,True
P-10722,Graham Chapman,Actor,9,1,True
P-15853,Wes Studi,Actor,8,1,True
P-1581,Mary McDonnell,Actor,8,1,True
P-8606,Robert Shaw,Actor,9,1,True
P-6355,Roy Scheider,Actor,9,1,True
P-87485,Neil Armstrong,Actor,10,1,False
P-11680,Pauley Perrette,Actor,8,1,True
P-11702,Adam Brody,Actor,9,1,True
P-20354,Amber Tamblyn,Actor,8,1,True
P-26291,Martin Henderson,Actor,8,1,True
P-16743,Arnold Vosloo,Actor,8,1,True
P-8289,Billy Crudup,Actor,8,1,True
P-8294,Robert Guillaume,Actor,8,1,True
P-8293,Marion Cotillard,Actor,10,1,True
P-4252,Tony Shalhoub,Actor,8,1,True
P-8892,Olivia Newton-John,Actor,9,1,True
P-8872,Rick Moranis,Actor,8,1,True
P-8857,Debbie Reynolds,Actor,8,1,True
P-8851,Whitney Houston,Actor,10,1,False
P-9206,Neve Campbell,Actor,9,1,True
P-8767,Jim Caviezel,Actor,8,1,True
P-8784,Daniel Craig,Actor,10,1,True
P-82702,Michael Jackson,Actor,10,1,False
P-9657,Patrick Warburton,Actor,8,1,True
P-9656,Johnny Knoxville,Actor,9,1,True
P-28782,Monica Bellucci,Actor,9,1,True
P-8329,Radha Mitchell,Actor,8,1,True
P-9575,Jada Pinkett Smith,Actor,9,1,True
P-2888,Will Smith,Actor,10,1,True
P-7132,Vincent D'Onofrio,Actor,8,1,True
P-8534,Kathy Bates,Actor,9,1,True
P-8688,Diego Luna,Actor,8,1,True
P-1003,Jean Reno,Actor,8,1,True
P-2405,Audrey Tautou,Actor,8,1,True
P-8447,Jeff Daniels,Actor,9,1,True
P-8436,Miranda Richardson,Actor,8,1,True
P-8332,Laurie Holden,Actor,8,1,True
P-21624,Judd Nelson,Actor,8,1,True
P-21702,Ming-Na Wen,Actor,8,1,True
P-3,Harrison Ford,Actor,10,1,True
P-37934,André 3000,Actor,9,1,True
P-52783,Rachel Bilson,Actor,9,1,True
P-37041,Andrew McCarthy,Actor,8,1,True
P-53955,Katarina Witt,Actor,8,1,True
P-53926,Jon Heder,Actor,8,1,True
P-40276,Gary Dourdan,Actor,8,1,True
P-54415,Josh Gad,Actor,9,1,True
P-1011904,Gwendoline Christie,Actor,8,1,True
P-25884,Mary Lynn Rajskub,Actor,8,1,True
P-73931,Bette Midler,Actor,9,1,True
P-38559,Christopher Lambert,Actor,8,1,True
P-30364,Tracey Ullman,Actor,8,1,True
P-59919,Russell Brand,Actor,9,1,True
P-77996,Asa Butterfield,Actor,8,1,True
P-400,Geraldine Chaplin,Actor,8,1,True
P-52929,Angie Harmon,Actor,8,1,True
P-52851,Paula Patton,Actor,8,1,True
P-52866,Avril Lavigne,Actor,9,1,True
P-52865,Garry Shandling,Actor,8,1,True
P-72208,Alicia Keys,Actor,9,1,True
P-62064,Chris Pine,Actor,9,1,True
P-112013,Rain,Actor,8,1,True
P-28657,Matthew Fox,Actor,9,1,True
P-83701,Alex Kingston,Actor,8,1,True
P-34408,Stana Katic,Actor,9,1,True
P-63522,Sofía Vergara,Actor,10,1,True
P-55085,Amber Heard,Actor,9,1,True
P-31903,Henry Winkler,Actor,10,1,True
P-81295,Shane West,Actor,8,1,True
P-55775,Katie Cassidy,Actor,8,1,True
P-11825,Maggie Grace,Actor,9,1,True
P-40259,Malcolm-Jamal Warner,Actor,8,1,True
P-454973,Laura Innes,Actor,8,1,True
P-47775,Marc Anthony,Actor,9,1,True
P-239271,Jeremy Strong,Actor,9,1,True
P-53828,Jennifer Carpenter,Actor,9,1,True
P-53283,Jonathan Taylor Thomas,Actor,9,1,True
P-20005,Moira Kelly,Actor,8,1,True
P-21561,Tim Matheson,Actor,8,1,True
P-55089,Evan Peters,Actor,9,1,True
P-55086,Cam Gigandet,Actor,8,1,True
P-52848,Isla Fisher,Actor,9,1,True
P-54697,Dave Franco,Actor,9,1,True
P-54691,Christopher Mintz-Plasse,Actor,8,1,True
P-125025,Joey King,Actor,9,1,True
P-54651,Joey Fatone,Actor,8,1,True
P-53647,Lainie Kazan,Actor,8,1,True
P-54645,Nia Vardalos,Actor,9,1,True
P-44240,Roddy Piper,Actor,8,1,True
P-232499,Harry Shum Jr.,Actor,8,1,True
P-70243,Eartha Kitt,Actor,9,1,True
P-59315,Olivia Wilde,Actor,8,1,True
P-52646,Vincent Kartheiser,Actor,8,1,True
P-47296,Jeffrey Dean Morgan,Actor,10,1,True
P-51990,T.J. Miller,Actor,8,1,True
P-53122,Fran Drescher,Actor,9,1,True
P-51962,Bill Cosby,Actor,10,1,True
P-77335,Ben Mendelsohn,Actor,8,1,True
P-52852,Kat Dennings,Actor,8,1,True
P-44735,Jesse Eisenberg,Actor,9,1,True
P-51329,Bradley Cooper,Actor,10,1,True
P-948173,Glenn Beck,Actor,8,1,True
P-78080,Krysten Ritter,Actor,9,1,True
P-44935,Lynda Carter,Actor,9,1,True
P-8261,Willie Nelson,Actor,10,1,False
P-52052,Jessica Simpson,Actor,9,1,True
P-8602,Alice Braga,Actor,8,1,True
P-93527,Kelly Rowland,Actor,8,1,True
P-50095,Jason Ritter,Actor,8,1,True
P-61178,Alia Shawkat,Actor,8,1,True
P-78729,Nathan Lane,Actor,9,1,True
P-95102,Kaitlin Olson,Actor,8,1,True
P-77897,Tyra Banks,Actor,9,1,True
P-134531,Anna Gunn,Actor,9,1,True
P-20186,Damian Lewis,Actor,9,1,True
P-30614,Ryan Gosling,Actor,10,1,True
P-1341,Donnie Yen,Actor,9,1,True
P-49735,Aidan Gillen,Actor,9,1,True
P-51988,Lizzy Caplan,Actor,8,1,True
P-38673,Channing Tatum,Actor,10,1,True
P-71070,Amanda Seyfried,Actor,9,1,True
P-57172,Ashanti,Actor,9,1,True
P-230176,Eve,Actor,9,1,True
P-62862,Danny McBride,Actor,8,1,True
P-52601,Sean Hayes,Actor,9,1,True
P-64,Gary Oldman,Actor,10,1,True
P-1579,Maggie Gyllenhaal,Actor,8,1,True
P-3895,Michael Caine,Actor,10,1,True
P-6383,Aaron Eckhart,Actor,8,1,True
P-3894,Christian Bale,Actor,10,1,True
P-1771,Giovanni Ribisi,Actor,8,1,True
P-1752,George Takei,Actor,8,1,True
P-1749,Leonard Nimoy,Actor,10,1,True
P-1748,William Shatner,Actor,10,1,True
P-1733,Nick Nolte,Actor,8,1,True
P-1813,Anne Hathaway,Actor,10,1,True
P-1812,Michelle Williams,Actor,9,1,True
P-1810,Heath Ledger,Actor,9,1,True
P-1533,Andie MacDowell,Actor,8,1,True
P-1532,Bill Murray,Actor,10,1,True
P-18686,Holly Hunter,Actor,8,1,True
P-1461,George Clooney,Actor,10,1,True
P-52442,Olivia Thirlby,Actor,8,1,True
P-27578,Elliot Page,Actor,9,1,True
P-51965,Kevin Sorbo,Actor,8,1,True
P-55567,Alexandra Paul,Actor,8,1,True
P-29091,Mia Sara,Actor,8,1,True
P-21369,Gloria Reuben,Actor,8,1,True
P-21245,Greta Scacchi,Actor,8,1,True
P-57298,Anne Parillaud,Actor,9,1,True
P-16927,Gérard Depardieu,Actor,10,1,True
P-110927,Penn Badgley,Actor,9,1,True
P-54830,Sophia Bush,Actor,9,1,True
P-65236,Bill Goldberg,Actor,8,1,True
P-69128,Nelly,Actor,9,1,True
P-14104,Phil Hartman,Actor,9,1,True
P-57119,Sinbad,Actor,8,1,True
P-57108,Usher,Actor,10,1,False
P-22123,Jordana Brewster,Actor,8,1,True
P-17346,Robin Tunney,Actor,8,1,True
P-56903,Tracy Morgan,Actor,9,1,True
P-53714,Rachel McAdams,Actor,9,1,True
P-52605,Eva Longoria,Actor,9,1,True
P-51856,Jenna Fischer,Actor,9,1,True
P-12219,Jon Stewart,Actor,10,1,False
P-95686,Dylan Sprouse,Actor,8,1,True
P-56730,Cole Sprouse,Actor,8,1,True
P-56734,Chloë Grace Moretz,Actor,9,1,True
P-58224,Jason Sudeikis,Actor,9,1,True
P-31167,Elizabeth Mitchell,Actor,8,1,True
P-2040,Christopher Eccleston,Actor,8,1,True
P-2039,Brendan Gleeson,Actor,8,1,True
P-10839,Leonor Varela,Actor,8,1,True
P-66743,Matt Bomer,Actor,8,1,True
P-21462,Raquel Welch,Actor,9,1,True
P-22675,Damon Wayans,Actor,9,1,True
P-69718,Jon Cryer,Actor,8,1,True
P-13567,Ann-Margret,Actor,8,1,True
P-5401,Anthony Quinn,Actor,9,1,True
P-5248,Lee J. Cobb,Actor,8,1,True
P-37366,Linda Blair,Actor,8,1,True
P-9309,Richard Pryor,Actor,9,1,True
P-17265,Hayden Panettiere,Actor,8,1,True
P-1019,Mads Mikkelsen,Actor,8,1,True
P-51576,Chuck Norris,Actor,9,1,True
P-19429,Bruce Lee,Actor,10,1,True
P-14812,Jeanne Moreau,Actor,8,1,True
P-14730,Angela Lansbury,Actor,9,1,True
P-40389,Bernadette Peters,Actor,8,1,True
P-33663,Donald Trump,Actor,10,1,False
P-28846,Alexander Skarsgård,Actor,8,1,True
P-57147,Paul Hogan,Actor,8,1,True
P-18892,Goldie Hawn,Actor,10,1,True
P-21986,Reba McEntire,Actor,8,1,True
P-46393,Roseanne Barr,Actor,8,1,True
P-1459,Tina Turner,Actor,10,1,False
P-28238,David Hasselhoff,Actor,9,1,True
P-3382,Hope Lange,Actor,8,1,True
P-10427,Anne Archer,Actor,8,1,True
P-2053,Bill Paxton,Actor,8,1,True
P-2047,Danny Glover,Actor,9,1,True
P-84497,Aaron Paul,Actor,9,1,True
P-1981,Alfre Woodard,Actor,8,1,True
